Member Name,Hyperparameter Set,Noted Behavior
Elyse,"lr=1e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10",[Exp 1 - Baseline] Stable training. Reward improves steadily. Agent learns to land punches over time. Reference point for all other experiments.  |  Mean Reward: 3.80 +/- 6.05
Elyse,"lr=5e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10",[Exp 2 - High LR] Faster early reward gains but Q-values become unstable. Training loss spikes. Higher reward variance. lr=5e-4 too aggressive for Boxing.  |  Mean Reward: -41.00 +/- 1.67
Elyse,"lr=1e-5, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10",[Exp 3 - Low LR] Very slow convergence. Agent takes far longer to learn effective punching patterns. Rewards significantly below baseline at 100k steps.  |  Mean Reward: -4.40 +/- 2.06
Elyse,"lr=1e-4, gamma=0.90, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10","[Exp 4 - Low Gamma] Agent discounts future rewards heavily. Focuses on immediate punches, ignores strategic positioning. gamma=0.90 too myopic for a scoring game like Boxing.  |  Mean Reward: 1.40 +/- 3.61"
Elyse,"lr=1e-4, gamma=0.999, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10",[Exp 5 - High Gamma] Agent values long-term scoring strategy. Slightly slower early learning but develops more deliberate boxing behaviour. gamma=0.999 suits the cumulative scoring nature of Boxing.  |  Mean Reward: 3.40 +/- 5.12
Elyse,"lr=1e-4, gamma=0.99, batch=128, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10",[Exp 6 - Large Batch] Smoother loss curve and lower reward variance. Each gradient step is slower in wall-clock time. Final performance similar to baseline but more stable training.  |  Mean Reward: -1.20 +/- 3.71
Elyse,"lr=1e-4, gamma=0.99, batch=16, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10",[Exp 7 - Small Batch] Highly erratic training loss. Episode rewards fluctuate widely due to noisy gradient estimates. Worst performance among CNN experiments.  |  Mean Reward: 7.40 +/- 7.09
Elyse,"lr=1e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.10, epsilon_decay=0.50",[Exp 8 - Slow Epsilon Decay] Explores for 50% of training steps before exploiting. Replay buffer fills with diverse transitions. Best or near-best final reward — richer buffer leads to more robust policy.  |  Mean Reward: 3.40 +/- 3.01
Elyse,"lr=1e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.01, epsilon_decay=0.05",[Exp 9 - Fast Epsilon Decay] Epsilon hits 0.01 after just 5% of training (5k steps). Agent exploits a sub-optimal policy too early. Significantly lower final reward due to insufficient exploration.  |  Mean Reward: 11.20 +/- 6.76
Elyse,"lr=1e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10 [MlpPolicy / RAM obs]",[Exp 10 - MLP Ablation] MlpPolicy on ALE/Boxing-ram-v5 (128-byte RAM state). Cannot extract spatial features like opponent position or punch animations. Reward below CNN experiments. Confirms CnnPolicy is essential for pixel-based Atari.  |  Mean Reward: -33.20 +/- 2.40
